2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
38.5440 	EXP 	window1: recordFrameIntervals = False
39.5426 	EXP 	fixation: autoDraw = True
40.5422 	EXP 	fixation: autoDraw = False
40.5422 	EXP 	grating: autoDraw = True
40.5422 	EXP 	grating: tex = 'sin'
40.8423 	EXP 	grating: autoDraw = False
41.0278 	EXP 	window1: recordFrameIntervals = False
41.0293 	DATA 	Keypress: right
41.0419 	EXP 	fixation: autoDraw = False
41.0419 	EXP 	grating: autoDraw = False
41.0422 	EXP 	window1: recordFrameIntervals = False
42.0412 	EXP 	fixation: autoDraw = True
43.0407 	EXP 	fixation: autoDraw = False
43.0407 	EXP 	grating: autoDraw = True
43.0407 	EXP 	grating: tex = 'sin'
43.3264 	EXP 	window1: recordFrameIntervals = False
43.3278 	DATA 	Keypress: left
43.3406 	EXP 	grating: autoDraw = False
43.3406 	EXP 	fixation: autoDraw = False
43.3406 	EXP 	grating: autoDraw = False
43.3409 	EXP 	window1: recordFrameIntervals = False
44.3400 	EXP 	fixation: autoDraw = True
45.3395 	EXP 	fixation: autoDraw = False
45.3395 	EXP 	grating: autoDraw = True
45.3395 	EXP 	grating: tex = 'sin'
45.6392 	EXP 	grating: autoDraw = False
45.7922 	EXP 	window1: recordFrameIntervals = False
45.7936 	DATA 	Keypress: right
45.8058 	EXP 	fixation: autoDraw = False
45.8058 	EXP 	grating: autoDraw = False
45.8061 	EXP 	window1: recordFrameIntervals = False
46.8053 	EXP 	fixation: autoDraw = True
47.8048 	EXP 	fixation: autoDraw = False
47.8048 	EXP 	grating: autoDraw = True
47.8048 	EXP 	grating: tex = 'sin'
48.0740 	EXP 	window1: recordFrameIntervals = False
48.0754 	DATA 	Keypress: left
48.0886 	EXP 	fixation: autoDraw = False
48.0886 	EXP 	grating: autoDraw = False
48.0890 	EXP 	window1: recordFrameIntervals = False
49.0874 	EXP 	fixation: autoDraw = True
50.0869 	EXP 	fixation: autoDraw = False
50.0869 	EXP 	grating: autoDraw = True
50.0869 	EXP 	grating: tex = 'sin'
50.3867 	EXP 	grating: autoDraw = False
50.4725 	EXP 	window1: recordFrameIntervals = False
50.4740 	DATA 	Keypress: left
50.4868 	EXP 	fixation: autoDraw = False
50.4868 	EXP 	grating: autoDraw = False
50.4872 	EXP 	window1: recordFrameIntervals = False
51.4861 	EXP 	fixation: autoDraw = True
52.4855 	EXP 	fixation: autoDraw = False
52.4855 	EXP 	grating: autoDraw = True
52.4855 	EXP 	grating: tex = 'sin'
52.7855 	EXP 	grating: autoDraw = False
52.7892 	EXP 	window1: recordFrameIntervals = False
52.7908 	DATA 	Keypress: left
52.8021 	EXP 	fixation: autoDraw = False
52.8021 	EXP 	grating: autoDraw = False
52.8024 	EXP 	window1: recordFrameIntervals = False
53.8014 	EXP 	fixation: autoDraw = True
54.8011 	EXP 	fixation: autoDraw = False
54.8011 	EXP 	grating: autoDraw = True
54.8011 	EXP 	grating: tex = 'sin'
55.1010 	EXP 	grating: autoDraw = False
